Time     horizontal-angle zenith   slope-distance
23:00:44    69.0517     0.07495    7.9449
23:01:01    69.0039     0.0754     7.9449
22:57:47    69.05395    0.0755     7.945 
22:58:03    69.00095    0.0749     7.945 
22:54:42    69.0407     0.0747     7.9449
22:54:59    68.59435    0.07545    7.9448
22:51:50    69.05105    0.07545    7.945 
22:52:01    69.0231     0.0751     7.945 
22:48:46    68.5734     0.0756     7.945 
22:49:03    68.5744     0.07565    7.945 
22:45:48    69.00295    0.07525    7.9449
22:46:07    68.5923     0.07525    7.9449
22:42:46    69.0148     0.07545    7.9451
22:42:59    68.56005    0.0751     7.945 
22:39:50    69.003      0.07545    7.9449
22:40:02    68.56195    0.075      7.945 
22:36:46    69.05425    0.07545    7.945 
22:37:01    69.02125    0.0755     7.945 
22:33:48    69.0238     0.0754     7.9451
22:34:04    68.572      0.0747     7.945 
22:31:48    69.04095    0.0755     7.9449
22:32:00    69.00115    0.0751     7.945 
22:29:46    69.00365    0.0755     7.945 
22:30:02    68.5953     0.07495    7.9449
22:27:45    68.59035    0.0755     7.945 
22:27:59    69.00575    0.0749     7.9449
22:25:45    69.00285    0.0755     7.9448
22:25:58    69.0234     0.07515    7.945 
22:22:49    68.58545    0.0755     7.9449
22:23:02    69.0209     0.07515    7.9449
22:19:50    69.00545    0.0756     7.9449
22:20:03    68.56225    0.07485    7.9449
22:17:46    69.0524     0.0755     7.9448
22:17:59    68.59055    0.07485    7.945 
22:15:46    69.0037     0.07545    7.945 
22:15:58    68.5821     0.0753     7.9449
22:13:39    69.0115     0.0747     7.9449
22:13:57    69.0024     0.0754     7.945 
22:10:50    69.0321     0.0753     7.945 
22:11:05    68.5917     0.0753     7.9449
22:07:50    68.57005    0.0756     7.9449
22:08:03    68.59105    0.0751     7.9449
22:05:48    69.02505    0.0755     7.9449
22:05:59    68.54505    0.075      7.945 
22:03:45    69.0213     0.0755     7.945 
22:03:57    68.59075    0.0751     7.9449
22:00:49    69.0125     0.07545    7.9449
22:01:06    68.57345    0.07545    7.9449
21:57:49    69.0436     0.07525    7.9449
21:58:07    68.58145    0.07525    7.9448
21:54:47    68.5611     0.0755     7.945 
21:55:01    68.51515    0.0751     7.9449
21:52:42    68.56305    0.0755     7.945 
21:52:55    69.0108     0.0752     7.9449
21:50:48    69.0001     0.07545    7.945 
21:51:02    68.5846     0.07505    7.9449
21:47:42    69.03345    0.07485    7.9448
21:48:00    68.56115    0.07545    7.9449
21:45:46    69.0519     0.07545    7.945 
21:45:57    69.0251     0.07515    7.9448
